scenario,group,scenario_folder,mode,images,audio,run_id,multi
scenario3,tarde,scenario3T,day,9,scenario3_audio3,img9_aud3,False
scenario3,tarde,scenario3T,day,10,scenario3_audio3,img10_aud3,False
scenario3,tarde,scenario3T,day,11,scenario3_audio3,img11_aud3,False
scenario3,tarde,scenario3T,day,55,scenario3_audio3,img55_aud3,False
scenario3,tarde,scenario3T,day,"8,9",scenario3_audio3,img8_img9_aud3,True
scenario3,tarde,scenario3T,day,"8,10",scenario3_audio3,img8_img10_aud3,True
scenario3,tarde,scenario3T,day,"8,11",scenario3_audio3,img8_img11_aud3,True
scenario3,tarde,scenario3T,day,"8,55",scenario3_audio3,img8_img55_aud3,True
scenario3,tarde,scenario3T,day,"9,10",scenario3_audio3,img9_img10_aud3,True
scenario3,tarde,scenario3T,day,"9,11",scenario3_audio3,img9_img11_aud3,True
scenario3,tarde,scenario3T,day,"9,55",scenario3_audio3,img9_img55_aud3,True
scenario3,tarde,scenario3T,day,"10,11",scenario3_audio3,img10_img11_aud3,True
scenario3,tarde,scenario3T,day,"10,55",scenario3_audio3,img10_img55_aud3,True
scenario3,tarde,scenario3T,day,"11,55",scenario3_audio3,img11_img55_aud3,True
scenario3,noite,scenario3N,night,21,scenario3_audio1,img21_aud1,False
scenario3,noite,scenario3N,night,22,scenario3_audio1,img22_aud1,False
scenario3,noite,scenario3N,night,23,scenario3_audio1,img23_aud1,False
scenario3,noite,scenario3N,night,24,scenario3_audio1,img24_aud1,False
scenario3,noite,scenario3N,night,59,scenario3_audio1,img59_aud1,False
scenario3,noite,scenario3N,night,"21,22",scenario3_audio1,img21_img22_aud1,True
scenario3,noite,scenario3N,night,"21,23",scenario3_audio1,img21_img23_aud1,True
scenario3,noite,scenario3N,night,"21,24",scenario3_audio1,img21_img24_aud1,True
scenario3,noite,scenario3N,night,"21,59",scenario3_audio1,img21_img59_aud1,True
scenario3,noite,scenario3N,night,"22,23",scenario3_audio1,img22_img23_aud1,True
scenario3,noite,scenario3N,night,"22,24",scenario3_audio1,img22_img24_aud1,True
scenario3,noite,scenario3N,night,"22,59",scenario3_audio1,img22_img59_aud1,True
scenario3,noite,scenario3N,night,"23,24",scenario3_audio1,img23_img24_aud1,True
scenario3,noite,scenario3N,night,"23,59",scenario3_audio1,img23_img59_aud1,True
scenario3,noite,scenario3N,night,"24,59",scenario3_audio1,img24_img59_aud1,True
scenario3,noite,scenario3N,night,21,scenario3_audio2,img21_aud2,False
scenario3,noite,scenario3N,night,22,scenario3_audio2,img22_aud2,False
scenario3,noite,scenario3N,night,23,scenario3_audio2,img23_aud2,False
scenario3,noite,scenario3N,night,24,scenario3_audio2,img24_aud2,False
scenario3,noite,scenario3N,night,59,scenario3_audio2,img59_aud2,False
scenario3,noite,scenario3N,night,"21,22",scenario3_audio2,img21_img22_aud2,True
scenario3,noite,scenario3N,night,"21,23",scenario3_audio2,img21_img23_aud2,True
scenario3,noite,scenario3N,night,"21,24",scenario3_audio2,img21_img24_aud2,True
scenario3,noite,scenario3N,night,"21,59",scenario3_audio2,img21_img59_aud2,True
scenario3,noite,scenario3N,night,"22,23",scenario3_audio2,img22_img23_aud2,True
scenario3,noite,scenario3N,night,"22,24",scenario3_audio2,img22_img24_aud2,True
scenario3,noite,scenario3N,night,"22,59",scenario3_audio2,img22_img59_aud2,True
scenario3,noite,scenario3N,night,"23,24",scenario3_audio2,img23_img24_aud2,True
